,Airline,Destination,Total_Stops,Price,journey_day,journey_month,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,Duration_hours,Duration_mins,,Airline
0,3,2,0,3897,24,3,22,20,1,10,2,50,,IndiGo
1,7,3,2,7662,5,1,5,50,13,15,7,25,,Air India
2,10,4,2,13882,6,9,9,25,4,25,19,0,,Jet Airways
3,3,3,1,6218,5,12,18,5,23,30,5,25,,IndiGo
4,3,2,1,13302,3,1,16,50,21,35,4,45,,IndiGo
5,1,3,0,3873,24,6,9,0,11,25,2,25,,SpiceJet
6,10,2,1,11087,3,12,18,55,10,25,15,30,,Jet Airways
7,10,2,1,22270,3,1,8,0,5,5,21,5,,Jet Airways
8,10,2,1,11087,3,12,8,55,10,25,25,30,,Jet Airways
9,8,4,1,8625,27,5,11,25,19,15,7,50,,Multiple carriers
10,7,4,1,8907,6,1,9,45,23,0,13,15,,Air India
11,3,3,0,4174,18,4,20,20,22,55,2,35,,IndiGo
12,7,0,0,4667,24,6,11,40,13,55,2,15,,Air India
13,10,3,1,9663,5,9,21,10,9,20,12,10,,Jet Airways
14,3,3,0,4804,24,4,17,15,19,50,2,35,,IndiGo
15,7,4,2,14011,3,3,16,40,19,15,26,35,,Air India
16,1,4,1,5830,15,4,8,45,13,15,4,30,,SpiceJet
17,10,4,1,10262,6,12,14,0,12,35,22,35,,Jet Airways
18,7,4,2,13381,6,12,20,15,19,15,23,0,,Air India
19,10,4,1,12898,27,5,16,0,12,35,20,35,,Jet Airways
20,4,4,1,19495,3,6,14,10,19,20,5,10,,GoAir
21,7,2,1,6955,21,3,22,0,13,20,15,20,,Air India
22,3,2,0,3943,4,3,4,0,6,50,2,50,,IndiGo
23,3,2,0,4823,5,1,18,55,21,50,2,55,,IndiGo
24,10,3,1,7757,5,6,18,55,8,15,13,20,,Jet Airways
25,10,4,2,13292,6,9,21,25,12,35,15,10,,Jet Airways
26,3,4,1,8238,6,1,21,50,3,35,5,45,,IndiGo
27,4,4,1,7682,15,5,7,0,12,55,5,55,,GoAir
28,5,2,0,4668,18,6,9,45,12,35,2,50,,Vistara
29,5,0,0,3687,15,6,7,5,9,20,2,15,,Vistara
30,5,0,0,3687,18,6,7,5,9,20,2,15,,Vistara
31,7,3,2,13227,5,1,9,50,23,15,13,25,,Air India
32,3,2,0,4423,4,6,4,0,6,50,2,50,,IndiGo
33,10,4,2,10919,15,6,14,35,12,35,22,0,,Jet Airways
34,10,4,1,12373,18,5,7,5,12,35,5,30,,Jet Airways
35,3,4,1,5894,27,6,10,35,21,0,10,25,,IndiGo
36,1,3,1,4649,21,5,15,5,20,20,5,15,,SpiceJet
37,7,3,0,6245,18,5,14,15,16,45,2,30,,Air India
38,10,2,1,19225,3,6,7,0,13,15,6,15,,Jet Airways
39,10,4,1,14924,6,3,7,5,19,0,11,55,,Jet Airways
40,8,4,1,9646,21,5,7,5,18,10,11,5,,Multiple carriers
41,7,2,1,8714,15,3,6,45,15,15,8,30,,Air India
42,10,4,1,12373,18,5,20,55,19,0,22,5,,Jet Airways
43,2,2,0,3383,5,6,11,10,13,55,2,45,,Air Asia
44,8,4,1,13062,21,3,9,0,21,0,12,0,,Multiple carriers
45,1,2,0,3527,24,3,5,45,8,35,2,50,,SpiceJet
46,3,2,0,3943,27,5,4,0,6,50,2,50,,IndiGo
47,7,0,0,4667,5,3,11,40,13,55,2,15,,Air India
48,7,3,1,6117,15,5,19,0,11,5,16,5,,Air India
49,10,4,2,11150,27,6,23,5,19,0,19,55,,Jet Airways
50,10,4,0,7202,3,9,11,0,14,15,3,15,,Jet Airways
51,10,3,1,12121,5,1,9,35,10,55,25,20,,Jet Airways
52,3,2,0,4377,24,3,22,20,1,10,2,50,,IndiGo
53,3,2,0,3943,18,6,21,15,0,15,3,0,,IndiGo
54,2,2,0,4483,4,3,23,55,2,45,2,50,,Air Asia
55,10,3,1,14231,24,3,19,45,12,0,16,15,,Jet Airways
56,7,2,2,17345,3,1,8,50,23,55,15,5,,Air India
57,5,0,0,7414,3,6,7,5,9,20,2,15,,Vistara
58,8,4,1,8073,5,6,19,0,1,30,6,30,,Multiple carriers
59,5,1,1,12395,3,6,15,40,16,45,25,5,,Vistara
60,7,3,1,8366,6,6,9,25,21,50,12,25,,Air India
61,7,4,1,5117,4,3,6,5,9,25,27,20,,Air India
62,8,4,1,12524,6,3,8,45,19,0,10,15,,Multiple carriers
63,3,4,1,7191,15,5,15,0,1,30,10,30,,IndiGo
64,5,0,0,3687,24,5,7,5,9,20,2,15,,Vistara
65,3,4,1,5894,24,6,10,35,21,0,10,25,,IndiGo
66,5,2,0,5403,24,4,9,45,12,35,2,50,,Vistara
67,7,1,0,3625,5,6,13,55,15,25,1,30,,Air India
68,7,4,2,10861,21,5,5,55,19,15,13,20,,Air India
69,3,0,0,6297,3,12,13,20,15,35,2,15,,IndiGo
70,10,1,0,5678,6,1,7,5,8,30,1,25,,Jet Airways
71,10,2,1,9134,3,9,5,45,8,15,26,30,,Jet Airways
72,8,4,1,10791,24,6,11,40,19,0,7,20,,Multiple carriers
73,10,4,2,12819,24,6,23,5,12,35,13,30,,Jet Airways
74,3,4,1,6893,21,3,5,5,10,5,5,0,,IndiGo
75,5,2,0,7240,3,9,9,50,12,35,2,45,,Vistara
76,4,2,0,3898,4,3,11,40,14,30,2,50,,GoAir
77,3,1,0,4049,4,3,6,25,7,55,1,30,,IndiGo
78,10,4,1,10262,15,6,17,30,12,35,19,5,,Jet Airways
79,1,0,0,3332,21,3,8,20,10,35,2,15,,SpiceJet
80,10,3,1,10844,6,9,21,10,12,0,14,50,,Jet Airways
81,10,2,0,7229,24,3,19,55,22,35,2,40,,Jet Airways
82,10,3,1,13941,5,6,6,30,4,40,22,10,,Jet Airways
83,3,4,1,5894,27,6,11,25,21,0,9,35,,IndiGo
84,8,4,1,10197,18,5,9,0,19,0,10,0,,Multiple carriers
